Πάροχος,Έτος,Μήνας,Ονομασία Τιμολογίου,Πάγιο (€/μήνα),Τελική Τιμή Προμήθειας (€/ΚWh),Πάγιο με Έκπτωση με προϋπόθεση (€/μήνα),Προϋπόθεση Έκπτωσης Παγίου,Τελική Τιμή Προμήθειας με Έκπτωση με προϋπόθεση (€/ΚWh),Προϋπόθεση Έκπτωσης Βασικής Τιμής Προμήθειας,Διάρκεια Σύμβασης,Παρατηρήσεις
PROTERGIA,2025,2,Value Student,9.9,0.001,9.9,,0.001,,12,Φοιτητικό Πρόγραμμα. (Μηδενική κυμαινόμενη χρέωση προμήθειας για τις πρώτες 115kWh κάθε μήνα).
ΕΛΙΝΟΙΛ,2025,2,Power On! Hybrid 100,7.9,0.0699,7.9,,0.0699,,12,Η τιμή του Φεβρουαρίου 2025 θα ανακοινωθεί τον Μάρτιο του 2025
ΕΛΙΝΟΙΛ,2025,1,Power On! Hybrid 100,7.9,0.0699,7.9,,0.0699,,12,Η τιμή του Ιανουαρίου 2025 θα δημοσιευτεί τον Φεβρουάριο του 2025
ΖΕΝΙΘ,2025,2,"Power Home Select \""Promo 6 Πάγια\""",5,0.085,5,Χαρίζονται τα πάγια για τον 1ο. 2ο. 4ο. 5ο. 11ο και 12ο μήνα (6 μήνες),0.077,Dual Energy,Αορίστου Διάρκειας,
ΖΕΝΙΘ,2025,1,"Power Home Select \""Promo 6 Πάγια\""",5,0.085,0,6 πάγια δώρο,0.077,Dual Energy,12,"6 πάγια δώρο, έκπτωση Dual Energy"
ELPEDISON,2025,2,Elpedison Bright Up,9.9,0.089,9.9,,0.089,,6,Από 28/06 το προϊόν είναι μη εμπορικά διαθέσιμο. Η διάρκεια σύμβασης συμφωνείται έως 31/12/2024.
ELPEDISON,2025,1,Elpedison Bright Up,9.9,0.089,9.9,,0.089,,6,Από 28/06 το προϊόν είναι μη εμπορικά διαθέσιμο. Η διάρκεια σύμβασης συμφωνείται έως 31/12/2024.
ELPEDISON,2025,1,ELPEDISON Win More 2,9.9,0.0949,9.9,,0.0949,,12,Σταθερή Χρέωση Προμήθειας ημέρας και νύχτας έως 31/01/2025. Από 01/02/2025 έως τη λήξη της σύμβασης η Χρέωση Προμήθειας καθίσταται κυμαινόμενη και το Πάγιο ανέρχεται στα 5.90 €/μήνα. Από 03/02 μη εμπορικά διαθέσιμο.
NRG,2025,2,nrg hybrid,5,0.095,5,,0.095,,12,
NRG,2025,2,nrg fixed 4U 6μήνες,9.9,0.095,9.9,0,0.095,,6,
NRG,2025,2,nrg hybrid 2.0,5,0.095,5,,0.095,,12,
NRG,2025,1,nrg hybrid 2.0,5,0.095,5,,0.095,,12,
NRG,2025,1,nrg hybrid,5,0.095,5,,0.095,,12,
NRG,2025,1,nrg fixed 4U 6μήνες,9.9,0.095,9.9,0,0.095,,6,
PROTERGIA,2025,2,Value Safe 6 Μήνες,9.9,0.095,9.9,,0.095,,6,
PROTERGIA,2025,1,Value Safe 6 Μήνες,9.9,0.095,9.9,,0.095,,6,
ΖΕΝΙΘ,2025,1,Power Home Student,5,0.095,5,,0.095,,12,"-Σταθερή τιμή για τις πρώτες 200kWh κάθε μήνα.
- Το προϊόν αφορά οικιακούς καταναλωτές που έχουν τη φοιτητική ιδιότητα η οποία
πιστοποιείται από αποδεικτικό στοιχείο φοίτησης σε ισχύ."
ΕΛΙΝΟΙΛ,2025,2,Power On! Hybrid 150,7.9,0.0969,7.9,0,0.0969,,12,Η τιμή του Φεβρουαρίου 2025 θα ανακοινωθεί τον Μάρτιο του 2025
ΕΛΙΝΟΙΛ,2025,1,Power On! Hybrid 150,7.9,0.0969,7.9,,0.0969,,12,Η τιμή του Ιανουαρίου 2025 θα δημοσιευτεί τον Φεβρουάριο του 2025
PROTERGIA,2025,2,Protergia Οικιακό / Οικιακό Ν - Value Safe (6μηνο προϊόν) (μη εμπορικά διαθέσιμο),9.9,0.0975,9.9,,0.0975,,6,
PROTERGIA,2025,1,Protergia Οικιακό / Οικιακό Ν - Value Safe (6μηνο προϊόν) (μη εμπορικά διαθέσιμο),9.9,0.0975,9.9,,0.0975,,6,
ELPEDISON,2025,2,ELPEDISON Bright 6M,9.9,0.0999,9.9,,0.0999,,6,Από 17/01/2025 το προϊόν είναι μη εμπορικά διαθέσιμο.
ELPEDISON,2025,1,ELPEDISON Bright 6M,9.9,0.0999,9.9,,0.0999,,6,Από 17/01/2025 το προϊόν είναι μη εμπορικά διαθέσιμο.
ELPEDISON,2025,2,ELPEDISON Bright 12M,7.9,0.1049,7.9,,0.1049,,12,
ELPEDISON,2025,1,ELPEDISON Bright 12M,7.9,0.1049,7.9,,0.1049,,12,
ΕΛΙΝΟΙΛ,2025,2,Power On! Hybrid 200,7.9,0.1089,7.9,0,0.1089,,12,Η τιμή του Φεβρουαρίου 2025 θα ανακοινωθεί τον Μάρτιο του 2025
ΕΛΙΝΟΙΛ,2025,1,Power On! Hybrid 200,7.9,0.1089,7.9,,0.1089,,12,Η τιμή του Ιανουαρίου 2025 θα δημοσιευτεί τον Φεβρουάριο του 2025
NRG,2025,2,nrg hybrid 1.0,5,0.109,5,,0.109,,12,
NRG,2025,1,nrg hybrid 1.0,5,0.109,5,,0.109,,12,
ELPEDISON,2025,2,ELPEDISON Bright Night 6M,9.9,0.1099,9.9,,0.1099,,6,Από 17/01/2025 το προϊόν είναι μη εμπορικά διαθέσιμο.
ELPEDISON,2025,1,ELPEDISON Bright Night 6M,9.9,0.1099,9.9,,0.1099,,6,Από 17/01/2025 το προϊόν είναι μη εμπορικά διαθέσιμο.
VOLTON,2025,2,VOLTON BLUE FIXED 6M,9.9,0.11,9.9,,0.088,Συνέπεια,6,Από 11/06 το προϊόν είναι μη εμπορικά διαθέσιμο
VOLTON,2025,1,VOLTON BLUE FIXED 6M,9.9,0.11,9.9,,0.088,Συνέπεια,6,Από 11/06 το προϊόν είναι μη εμπορικά διαθέσιμο
ΕΛΙΝΟΙΛ,2025,2,Power On! Blue 24M Οικιακό,9.9,0.1149,9.9,,0.1149,,24,
ΕΛΙΝΟΙΛ,2025,1,Power On! Blue 24M Οικιακό,9.9,0.1149,9.9,,0.1149,,24,
NRG,2025,2,nrg fixed 4U 12M,14.9,0.115,14.9,,0.115,,12,
NRG,2025,1,nrg fixed 4U 12M,14.9,0.115,14.9,,0.115,,12,
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2025,2,Ρεύμα MAXI Home Economy,9.9,0.115,9.9,,0.085,Συνέπεια,12,
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2025,2,Ρεύμα MAXI Home Economy XL,14.9,0.115,14.9,,0.085,Συνέπεια,12,
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2025,1,Ρεύμα MAXI Home Economy,9.9,0.115,9.9,,0.085,Συνέπεια,12,
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2025,1,Ρεύμα MAXI Home Economy XL,14.9,0.115,14.9,,0.085,Συνέπεια,12,
ΗΡΩΝ,2025,2,BLUE GENEROUS HOME,9.5,0.117,9.5,,0.0936,Συνέπεια,6,
ΗΡΩΝ,2025,2,Yellow One Home 2,5,0.117,5,,0.0936,Συνέπεια (-20%),12,Αναστολή εφαρμογής Μηχανισμού Διακύμανσης στη Χρέωση Προμήθειας για την κατανάλωση των τριών πρώτων μηνών του έτους 2025.
ΗΡΩΝ,2025,1,Yellow One Home 2,5,0.117,5,,0.0936,Συνέπεια (-20%),12,Αναστολή εφαρμογής Μηχανισμού Διακύμανσης στη Χρέωση Προμήθειας για την κατανάλωση των τριών πρώτων μηνών του έτους 2025.
ΗΡΩΝ,2025,1,BLUE GENEROUS HOME,9.5,0.117,9.5,,0.0936,Συνέπεια,6,
PROTERGIA,2025,2,Value Secure 6 Μήνες,9.9,0.119,9.9,,0.085,Συνέπεια,6,
PROTERGIA,2025,1,Value Secure 6 Μήνες,9.9,0.119,9.9,,0.085,Συνέπεια,6,
ΖΕΝΙΘ,2025,2,Power Home Direct Plus,9.9,0.123,9.9,,0.095,Έκπτωση συνέπειας,12,ΔΩΡΟ τα πρώτα 6 πάγια
